 num     #instances         #bytes  class name (module)
 217:           283          11320  java.lang.invoke.DirectMethodHandle$Accessor (java.base@11.0.14)
 218:            20          11048  [[B (java.base@11.0.14)
 219:           341          10912  jdk.internal.math.FDBigInteger (java.base@11.0.14)
 220:           454          10896  com.google.gson.internal.$Gson$Types$ParameterizedTypeImpl
 221:           268          10720  com.starrocks.lake.compaction.Quantiles
 222:           264          10560  java.math.BigInteger (java.base@11.0.14)
 223:           439          10536  com.sleepycat.je.tree.INLongRep$DefaultRep
 224:           437          10488  com.sleepycat.je.tree.INKeyRep$MaxKeySize
 225:           425          10200  com.starrocks.metric.MetricLabel
 226:           312           9984  io.grpc.netty.shaded.io.netty.buffer.PoolThreadCache$SubPageMemoryRegionCache
 227:           623           9968  java.lang.ref.ReferenceQueue$Lock (java.base@11.0.14)
 228:           138           9936  com.google.protobuf.DescriptorProtos$DescriptorProto
 229:           308           9856  java.util.concurrent.CountDownLatch$Sync (java.base@11.0.14)
 230:           409           9816  sun.reflect.generics.repository.FieldRepository (java.base@11.0.14)
 231:           597           9552  java.util.HashMap$Values (java.base@11.0.14)
 232:           297           9504  java.lang.ref.WeakReference (java.base@11.0.14)
 233:           236           9440  java.util.EnumMap (java.base@11.0.14)
 234:           391           9384  com.google.protobuf.Descriptors$DescriptorPool$DescriptorIntPair
 235:           292           9344  com.starrocks.qe.VariableMgr$VarContext
 236:           231           9240  java.lang.Package$VersionInfo (java.base@11.0.14)
 237:           384           9216  com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$Adapter
 238:           192           9216  io.grpc.netty.shaded.io.netty.buffer.PoolChunkList
 239:           370           8880  com.starrocks.load.routineload.KafkaProgress
 240:           363           8712  java.lang.module.ModuleDescriptor$Exports (java.base@11.0.14)
 241:             6           8480  [[Lorg.antlr.v4.runtime.atn.ATNConfig;
 242:            30           8400  java.util.concurrent.atomic.Striped64$Cell (java.base@11.0.14)
 243:           348           8352  com.google.common.collect.ImmutableMapEntry
 244:             1           8216  [Lscala.math.BigInt;
 245:             1           8208  [Lio.netty.util.HashedWheelTimer$HashedWheelBucket;
 246:           255           8160  org.apache.logging.log4j.core.config.plugins.processor.PluginEntry
 247:           145           8120  java.lang.Module (java.base@11.0.14)
 248:           208           7984  [Lcom.starrocks.catalog.PrimitiveType;
 249:           492           7872  java.util.WeakHashMap$KeySet (java.base@11.0.14)
 250:           488           7808  sun.nio.ch.FileDispatcherImpl (java.base@11.0.14)
 251:           195           7800  java.lang.invoke.DirectMethodHandle$Special (java.base@11.0.14)
 252:           486           7776  java.nio.channels.spi.AbstractInterruptibleChannel$1 (java.base@11.0.14)
 253:           486           7776  org.apache.logging.log4j.message.ParameterizedMessageFactory
 254:           484           7744  sun.nio.ch.FileChannelImpl$Closer (java.base@11.0.14)
 255:           484           7744  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes (java.base@11.0.14)
 256:           137           7672  com.google.protobuf.Descriptors$Descriptor
 257:           318           7632  javax.management.ImmutableDescriptor (java.management@11.0.14)
 258:           136           7616  org.antlr.v4.runtime.atn.StarLoopEntryState
 259:            18           7488  [Ljava.util.concurrent.atomic.AtomicLong; (java.base@11.0.14)
 260:           312           7488  com.sleepycat.je.utilint.StatDefinition
